Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,36.520000,37.580002,36.060001,36.459999,36.349098,18974300
2020-12-09,36.619999,36.900002,35.939999,35.959999,35.850620,12855300
2020-12-10,36.250000,38.000000,36.230000,37.830002,37.714935,26352300
2020-12-11,37.400002,38.660000,37.169998,38.459999,38.343018,19518200
2020-12-14,38.590000,39.330002,38.400002,38.500000,38.500000,24822600
2020-12-15,38.500000,39.500000,38.500000,38.990002,38.990002,15248300
2020-12-16,39.220001,39.790001,38.240002,39.349998,39.349998,26509000
2020-12-17,39.369999,39.770000,38.910000,39.389999,39.389999,11508700
2020-12-18,39.290001,39.630001,38.950001,39.230000,39.230000,7436000
2020-12-21,38.110001,38.480000,37.669998,37.790001,37.790001,18718600
2020-12-22,38.139999,38.860001,38.000000,38.290001,38.290001,10770400
2020-12-23,38.570000,39.180000,38.270000,38.919998,38.919998,9176300
2020-12-28,39.320000,39.549999,39.200001,39.349998,39.349998,7577200
2020-12-29,39.500000,39.599998,38.950001,39.119999,39.119999,7301400
2020-12-30,39.279999,39.349998,38.660000,38.799999,38.799999,8594000
2021-01-04,39.230000,39.290001,37.500000,37.590000,37.590000,13874600
2021-01-05,37.450001,37.450001,36.700001,37.200001,37.200001,15954000
2021-01-06,37.529999,38.730000,37.380001,38.049999,38.049999,20566700
2021-01-07,38.119999,39.700001,37.919998,39.560001,39.560001,21878700
2021-01-08,39.849998,40.560001,39.290001,39.540001,39.540001,12733100
2021-01-11,39.549999,39.900002,38.799999,39.139999,39.139999,16880700
2021-01-12,39.660000,39.790001,38.889999,39.500000,39.500000,15519000
2021-01-13,39.500000,39.700001,37.240002,37.549999,37.549999,34866200
2021-01-14,37.759998,38.150002,36.840000,37.459999,37.459999,39535200
2021-01-15,37.200001,37.450001,36.509998,36.779999,36.779999,18302900
2021-01-18,36.660000,37.029999,35.810001,35.930000,35.930000,23849800
2021-01-19,36.299999,36.330002,35.040001,35.320000,35.320000,19512600
2021-01-20,35.490002,35.580002,34.509998,34.529999,34.529999,22693600
2021-01-21,34.549999,34.810001,33.730000,34.180000,34.180000,23303500
2021-01-22,33.619999,33.740002,33.320000,33.419998,33.419998,13270200
2021-01-26,33.959999,34.240002,32.610001,32.790001,32.790001,26922300
2021-01-27,32.730000,34.029999,32.520000,33.750000,33.750000,25080200
2021-01-28,33.570000,34.950001,33.480000,34.540001,34.540001,20932100
2021-01-29,34.099998,34.669998,33.650002,34.070000,34.070000,10896000
2021-02-01,34.320000,34.500000,33.830002,34.290001,34.290001,16762600
2021-02-02,34.759998,35.099998,33.840000,34.060001,34.060001,19800900
2021-02-03,34.299999,34.740002,34.180000,34.330002,34.330002,10473000
2021-02-04,34.599998,34.720001,34.020000,34.189999,34.189999,10074200
2021-02-05,34.279999,34.480000,33.810001,34.000000,34.000000,8052300
2021-02-08,33.939999,34.250000,33.599998,33.869999,33.869999,11651600
2021-02-09,33.770000,34.500000,33.650002,34.279999,34.279999,15307000
2021-02-10,34.279999,34.480000,33.860001,33.959999,33.959999,6020800
